0.88329115;0.88385095;0.88390878;0.88371954;0.88330875;0.88318718
0.88325866;0.88392965;0.88400152;0.88378936;0.88337135;0.88326817
0.88325849;0.88400054;0.88395555;0.88377306;0.88334844;0.88320646
0.88324225;0.88399458;0.88395602;0.88370629;0.88332974;0.88329737
0.88322488;0.88400287;0.88386664;0.88368115;0.88330337;0.88331499
0.88319934;0.88404035;0.88382984;0.8835266;0.88318238;0.883246
0.88316808;0.88395578;0.88369505;0.88342812;0.88300063;0.88310686
0.88313097;0.88389617;0.88361446;0.88343145;0.88288404;0.88297768
0.88314872;0.8837709;0.88357872;0.88318468;0.88283652;0.88283759
0.88318263;0.883727;0.88350458;0.88304498;0.88262742;0.88269973
0.88313748;0.88363574;0.88328813;0.88281351;0.88248059;0.8824784
0.88305087;0.88353165;0.88307795;0.88263311;0.88228367;0.88225811
0.88302403;0.88343984;0.88286822;0.88239072;0.88204142;0.88207806
0.88297305;0.88333647;0.88275725;0.88212991;0.88187691;0.88198699
0.8829168;0.88313002;0.88244973;0.88205205;0.8816726;0.88179845
0.88297507;0.88303362;0.8821864;0.88177213;0.88150719;0.88161369
0.88290572;0.88291516;0.88210144;0.88157412;0.88125991;0.88134862
0.88287649;0.88267542;0.88173361;0.88140195;0.88102676;0.88117418
0.88284381;0.88250645;0.88152186;0.88120607;0.88087899;0.88088037
0.88277727;0.88225884;0.88125847;0.88075964;0.88049413;0.88066189
0.88270699;0.88210824;0.88109037;0.88046384;0.88020576;0.88024265
0.88260878;0.88177997;0.88081793;0.88014232;0.87995318;0.87994606
0.88264131;0.88141448;0.88059574;0.87986727;0.87965742;0.87971095
0.88267921;0.88122656;0.88034899;0.87974704;0.87927283;0.87944491
